Sklep;Nazwa;Model;Cena;Data;Złącza;Czas reakcji;Przekątna;Rozdzielczość;Matryca
MediaMarkt;LG;24GN60R-B 23.8;749;2023.06.24;1x DisplayPort 1.4, 1x HDMI;1 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;ASUS;VZ24EHE 23.8;629;2023.06.24;1x D-Sub (VGA), 1x HDMI 1.4;1 (MPRT);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;HP;M24fwa FHD;669;2023.06.24;1x D-Sub (VGA), 1x HDMI 1.4;5 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;HP;32s FHD;999;2023.06.24;1x D-Sub (VGA), 1x HDMI;5;"31.5""";1920 x 1080 (Full HD);IPS
MediaMarkt;SAMSUNG;LS32BM700UPXEN 32;1449;2023.06.24;2x HDMI 2.0;4 (GTG);"32""";3840 x 2160 (UHD 4K);VA
MediaMarkt;SAMSUNG;LS24C364EAUXEN 24;499;2023.06.24;1x D-Sub (VGA), 1x HDMI 1.4;4 (GTG);"24""";1920 x 1080 (Full HD);VA
MediaMarkt;LG;24MP60G-B 23.8;599;2023.06.24;1x D-Sub (VGA), 1x DisplayPort, 1x HDMI;1 (MBR);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;SAMSUNG;LU28R550UQPXEN 28;1259;2023.06.24;1 x DisplayPort 1.2, 2x HDMI 2.0;4 (GTG);"28""";3840 x 2160 (UHD 4K);IPS
MediaMarkt;OMEN;27c QHD;1999;2023.06.24;1x DisplayPort 1.4, 1x HDMI 2.0;1 (GTG);"27""";2560 x 1440 (Quad HD);VA
MediaMarkt;SAMSUNG;LF27T350FHRXEN 27;729;2023.06.24;1x D-Sub (VGA), 1x HDMI;5 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;LG;29WP500-B 29;859;2023.06.24;2x HDMI;5 (GTG);"29""";2560 x 1080 (UltraWide Full HD);IPS
MediaMarkt;ASUS;TUF Gaming;1149;2023.06.24;1 x DisplayPort 1.2, 1x DVI-D Dual Link, 2x HDMI 2.0;1 (MPRT), 4 (GTG);"27""";1920 x 1080 (Full HD);VA
MediaMarkt;HP;V22e 21.5;429;2023.06.24;1x D-Sub (VGA), 1x HDMI 1.4;5;"21.5""";1920 x 1080 (Full HD);TN
MediaMarkt;LENOVO;L27i-30 27;649;2023.06.24;1x D-Sub (VGA), 1x HDMI 1.4;4 (tryb ekstremalny), 6 (tryb normalny);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;ASUS;TUF Gaming;999;2023.06.24;1 x DisplayPort 1.2, 1x D-Sub (VGA), 1x HDMI 1.4;1 (MPRT);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;SAMSUNG;LC27R500FHPXEN 27;999;2023.06.24;1x D-Sub (VGA), 1x HDMI 1.4;4;"26.9""";1920 x 1080 (Full HD);VA
MediaMarkt;HP;M24f FHD;679;2023.06.24;1x D-Sub (VGA), 1x HDMI;5 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;LG;34WP75CP-B 34;1899;2023.06.24;1x DisplayPort 1.4, 1x DisplayPort przez USB-C, 2x HDMI;5 (GTG), 1 (MBR);"34""";3440 x 1440 (UltraWide QHD);VA
MediaMarkt;PEAQ;PMO C241-VFH;699;2023.06.24;1x D-Sub (VGA), 1x HDMI 1.4;8;"24""";1920 x 1080 (Full HD);VA
MediaMarkt;SAMSUNG;LF24T350FHRXEN 24;679;2023.06.24;1x D-Sub (VGA), 1x HDMI;5 (GTG);"24""";1920 x 1080 (Full HD);IPS
MediaMarkt;IIYAMA;G-Master Black;699;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 1.4;1 (MPRT);"23.8""";1920 x 1080 (Full HD);VA
MediaMarkt;LG;27UP85NP-W 27;1769;2023.06.24;1x DisplayPort, 1x DisplayPort przez USB-C, 2x HDMI;5 (GTG);"27""";3840 x 2160 (UHD 4K);IPS
MediaMarkt;IIYAMA;G-Master GB2470HSU-B1;879;2023.06.24;1x DisplayPort, 1x HDMI;0.8 (MPRT);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;HP;X27 FHD;929;2023.06.24;1x DisplayPort 1.4, 1x HDMI 2.0;1 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;LG;UltraGear 27GQ50F-B;999;2023.06.24;1 x DisplayPort 1.2, 2x HDMI;5 (GTG), 1 (MBR);"27""";1920 x 1080 (Full HD);VA
MediaMarkt;SAMSUNG;LC24F390FHRXEN 24;689;2023.06.24;1x D-Sub (VGA), 1x HDMI;4;"24""";1920 x 1080 (Full HD);VA
MediaMarkt;LENOVO;G27qc-30 27;1259;2023.06.24;1x DisplayPort 1.4, 1x HDMI 2.0;1 (MPRT);"27""";2560 x 1440 (Quad HD);VA
MediaMarkt;SAMSUNG;LU28R550UQRXEN 28;1699;2023.06.24;1 x DisplayPort 1.2, 2x HDMI 2.0;4 (GTG);"28""";3840 x 2160 (UHD 4K);IPS
MediaMarkt;MSI;Optix G272CQP;1549;2023.06.24;1 x DisplayPort 1.2, 2x HDMI 2.0;1 (MPRT);"27""";2560 x 1440 (Quad HD);VA
MediaMarkt;SAMSUNG;Odyssey G3;1149;2023.06.24;1 x DisplayPort 1.2, 1x D-Sub (VGA), 1x HDMI 2.0;1 (MPRT);"27""";1920 x 1080 (Full HD);VA
MediaMarkt;HP;27mq QHD;1069;2023.06.24;1x D-Sub (VGA), 1x HDMI;5 (GTG);"27""";2560 x 1440 (Quad HD);IPS
MediaMarkt;MSI;Optix G241V;749;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 1.4;1;"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;LG;24MP400-B 23.8;549;2023.06.24;1x D-Sub (VGA), 1x HDMI;5 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;SAMSUNG;Odyssey G3;999;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 1.4;1 (MPRT);"27""";1920 x 1080 (Full HD);VA
MediaMarkt;ASUS;TUF Gaming;1299;2023.06.24;1 x DisplayPort 1.2, 2x HDMI 2.0;5 (GTG);"28""";3840 x 2160 (UHD 4K);IPS
MediaMarkt;LG;29WP60G-B 29;899;2023.06.24;1x DisplayPort, 1x DisplayPort przez USB-C, 1x HDMI;1 (MBR);"29""";2560 x 1080 (UltraWide Full HD);IPS
MediaMarkt;SAMSUNG;Odyssey G5;2149;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 2.0;1 (GTG);"27""";2560 x 1440 (Quad HD);IPS
MediaMarkt;SAMSUNG;LS27CM500EUXDU 27;999;2023.06.24;2x HDMI 1.4;4 (GTG);"27""";1920 x 1080 (Full HD);VA
MediaMarkt;HP;X27c FHD;1039;2023.06.24;1x DisplayPort 1.4, 1x HDMI 2.0;1 (MPRT);"27""";1920 x 1080 (Full HD);VA
MediaMarkt;SAMSUNG;Odyssey G5;2199;2023.06.24;1x DisplayPort, 1x HDMI;1 (GTG);"27""";2560 x 1440 (Quad HD);IPS
MediaMarkt;ASUS;ROG Swift;3729;2023.06.24;1x DisplayPort 1.4, 1x HDMI 2.0;1 (GTG);"24.5""";1920 x 1080 (Full HD);IPS
MediaMarkt;LG;32SQ780S-W 31.5;2199;2023.06.24;1x DisplayPort przez USB-C, 2x HDMI;5 (GTG);"31.5""";3840 x 2160 (UHD 4K);VA
MediaMarkt;HP;M24 Webcam;999;2023.06.24;1 x DisplayPort 1.2, 1x DisplayPort przez USB-C, 1x HDMI 1.4;5 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;SAMSUNG;Odyssey G3;949;2023.06.24;1 x DisplayPort 1.2, 1x D-Sub (VGA), 1x HDMI 2.0;1 (MPRT);"24""";1920 x 1080 (Full HD);VA
MediaMarkt;HP;M24fd FHD;819;2023.06.24;1x D-Sub (VGA), 1x DisplayPort przez USB-C, 1x HDMI 1.4;5 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;SONY;INZONE M9;4899;2023.06.24;1x DisplayPort 1.4, 1x DisplayPort przez USB-C, 2x HDMI 2.1;1 (GTG);"27""";3840 x 2160 (UHD 4K);IPS
MediaMarkt;LG;32UN880P-B 31.5;2499;2023.06.24;1x DisplayPort, 1x DisplayPort przez USB-C, 2x HDMI;5 (GTG);"31.5""";3840 x 2160 (UHD 4K);IPS
MediaMarkt;SAMSUNG;Odyssey G7;2499;2023.06.24;1x HDMI 2.0, 2x DisplayPort 1.4;1 (GTG);"31.5""";2560 x 1440 (Quad HD);VA
MediaMarkt;MSI;Optix G24C6P;1099;2023.06.24;1 x DisplayPort 1.2, 2x HDMI 1.4;1;"23.8""";1920 x 1080 (Full HD);VA
MediaMarkt;LG;32GN600-B 31.5;1299;2023.06.24;1x DisplayPort, 2x HDMI;1 (MBR);"31.5""";2560 x 1440 (Quad HD);VA
MediaMarkt;LG;38GL950G-B 37.5;8097;2023.06.24;1x DisplayPort 1.4, 1x HDMI;1 (GTG);"37.5""";3840 x 1600 (UltraWide QHD);Nano IPS
MediaMarkt;SAMSUNG;Odyssey G5;1699;2023.06.24;1x DisplayPort 1.4, 1x HDMI 2.0;1 (MPRT);"32""";2560 x 1440 (Quad HD);VA
MediaMarkt;HP;M27fwa FHD;799;2023.06.24;1x D-Sub (VGA), 2x HDMI 1.4;5 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;ASUS;TUF Gaming;1899;2023.06.24;1 x DisplayPort 1.2, 2x HDMI 2.0;1 (MPRT);"27""";2560 x 1440 (Quad HD);IPS
MediaMarkt;HP;M24fe FHD;639;2023.06.24;1x D-Sub (VGA), 1x HDMI 1.4;5 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;OMEN;27u 4K;3199;2023.06.24;1x DisplayPort 1.4, 1x HDMI 2.0, 1x HDMI 2.1;1 (GTG);"27""";3840 x 2160 (UHD 4K);IPS
MediaMarkt;HP;M27fw FHD;729;2023.06.24;1x D-Sub (VGA), 1x HDMI 1.4;5 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;HP;M34d WQHD;1799;2023.06.24;1 x DisplayPort 1.2, 1x DisplayPort przez USB-C, 1x HDMI 2.0;5 (GTG);"34""";3440 x 1440 (UltraWide QHD);VA
MediaMarkt;SAMSUNG;LS34J550WQRXEN 34.1;1879;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 1.4, 1x HDMI 2.0;4;"34.1""";3440 x 1440 (UltraWide QHD);VA
MediaMarkt;SONY;INZONE M3;3299;2023.06.24;1x DisplayPort 1.4, 1x DisplayPort przez USB-C, 2x HDMI 2.1;1 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;HP;M27 Webcam;1239;2023.06.24;1 x DisplayPort 1.2, 1x DisplayPort przez USB-C, 1x HDMI 1.4;5 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;ASUS;ROG Strix;5399;2023.06.24;1x DisplayPort 1.4, 3x HDMI 2.0;4 (GTG);"43""";3840 x 2160 (UHD 4K);VA
MediaMarkt;LG;32GN550-B 31.5;1479;2023.06.24;1x DisplayPort, 2x HDMI;1 (MBR);"31.5""";1920 x 1080 (Full HD);VA
MediaMarkt;SAMSUNG;Smart M8;3779;2023.06.24;1x DisplayPort przez USB-C, 1x micro HDMI 2.0;4 (GTG);"32""";3840 x 2160 (UHD 4K);VA
MediaMarkt;SAMSUNG;Odyssey G4;1299;2023.06.24;1x DisplayPort, 2x HDMI;1 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;SAMSUNG;LS32A700 32;1649;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 2.0;5;"32""";3840 x 2160 (UHD 4K);VA
MediaMarkt;HP;U32 4K;2179;2023.06.24;1x DisplayPort 1.4, 1x DisplayPort przez USB-C, 1x HDMI 2.0;4 (GTG);"31.5""";3840 x 2160 (UHD 4K);IPS
MediaMarkt;SAMSUNG;M7 LS32BM701UUXEN;1759;2023.06.24;2x HDMI 2.0;4 (GTG);"32""";3840 x 2160 (UHD 4K);VA
MediaMarkt;SAMSUNG;Odyssey G5;2499;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 2.0;1 (GTG);"32""";2560 x 1440 (Quad HD);IPS
MediaMarkt;MSI;Optix MPG321QRF-QD;3989;2023.06.24;1x DisplayPort 1.4, 1x DisplayPort przez USB-C, 2x HDMI 2.0;1 (GTG);"32""";2560 x 1440 (Quad HD);Rapid IPS
MediaMarkt;SAMSUNG;Odyssey G5;1799;2023.06.24;1x DisplayPort 1.4, 1x HDMI 2.0;1 (MPRT);"32""";2560 x 1440 (Quad HD);VA
MediaMarkt;PHILIPS;346E2LAE/00 34;1549;2023.06.24;1 x DisplayPort 1.2, 1x DisplayPort przez USB-C, 1x HDMI 2.0;1;"34""";3440 x 1440 (UltraWide QHD);VA
MediaMarkt;PHILIPS;222S1AE/00 21.5;699;2023.06.24;1 x DisplayPort 1.2, 1x D-Sub (VGA), 1x DVI-D, 1x HDMI 1.4;4 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;221V8A/00 21.5;419;2023.06.24;1x D-Sub (VGA), 1x HDMI;4 (GTG);"21.5""";1920 x 1080 (Full HD);VA
MediaMarkt;PHILIPS;241V8L/00 23.8;469;2023.06.24;1x D-Sub (VGA), 1x HDMI;4 (GTG);"23.8""";1920 x 1080 (Full HD);VA
MediaMarkt;PHILIPS;241V8LA/00 23.8;479;2023.06.24;1x D-Sub (VGA), 1x HDMI;4 (GTG);"23.8""";1920 x 1080 (Full HD);VA
MediaMarkt;PHILIPS;243V7QDSB/00 23.8;479;2023.06.24;1x D-Sub (VGA), 1x DVI-D, 1x HDMI;4 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;242S9AL/00 23.8;549;2023.06.24;1x D-Sub (VGA), 1x DVI-D, 1x HDMI 1.4;4 (GTG);"23.8""";1920 x 1080 (Full HD);VA
MediaMarkt;PHILIPS;273V7QDSB/00 27;579;2023.06.24;1x D-Sub (VGA), 1x DVI-D, 1x HDMI;4 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;273V7QDAB/00 27;599;2023.06.24;1x D-Sub (VGA), 1x DVI-D, 1x HDMI;5;"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;271V8L/00 27;589;2023.06.24;1x D-Sub (VGA), 1x HDMI;4 (GTG);"27""";1920 x 1080 (Full HD);VA
MediaMarkt;PHILIPS;272B1G/00 27;879;2023.06.24;1 x DisplayPort 1.2, 1x D-Sub (VGA), 1x DVI-D, 1x HDMI 1.4;4 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;242S9JAL/00 23.8;589;2023.06.24;1 x DisplayPort 1.2, 1x D-Sub (VGA), 1x HDMI 1.4;4 (GTG);"23.8""";1920 x 1080 (Full HD);VA
MediaMarkt;PHILIPS;328B1/00 31.5;1889;2023.06.24;1 x DisplayPort 1.2, 2x HDMI 2.0;4;"31.5""";3840 x 2160 (UHD 4K);VA
MediaMarkt;PHILIPS;346B1C/00 34;2139;2023.06.24;1 x DisplayPort 1.2, 1x DisplayPort przez USB-C, 1x HDMI 2.0;4;"34""";3440 x 1440 (UltraWide QHD);VA
MediaMarkt;PHILIPS;243V7QJABF/00 23.8;539;2023.06.24;1 x DisplayPort 1.2, 1x D-Sub (VGA), 1x HDMI;4 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;272V8LA/00 27;639;2023.06.24;1x D-Sub (VGA), 1x DisplayPort, 1x HDMI;4 (GTG);"27""";1920 x 1080 (Full HD);VA
MediaMarkt;PHILIPS;221V8/00 21.5;399;2023.06.24;1x D-Sub (VGA), 1x HDMI;4 (GTG);"21.5""";1920 x 1080 (Full HD);VA
MediaMarkt;PHILIPS;32E1N3600LA/00 31.5;1399;2023.06.24;1 x DisplayPort 1.2, 1x DisplayPort przez USB-C, 2x HDMI 1.4;4;"31.5""";2560 x 1440 (Quad HD);VA
MediaMarkt;PHILIPS;221B7QPJKEB/00 21.5;799;2023.06.24;1 x DisplayPort 1.2, 1x D-Sub (VGA), 1x HDMI 1.4;5 (GTG);"21.5""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;275S9JAL/00 27;859;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 1.4;4 (GTG);"27""";2560 x 1440 (Quad HD);VA
MediaMarkt;PHILIPS;242B1H 23.8;1029;2023.06.24;1 x DisplayPort 1.2, 1x D-Sub (VGA), 1x DVI-D, 1x HDMI 1.4;4 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;24E1N3300A/00 23.8;929;2023.06.24;1x DisplayPort przez USB-C, 1x HDMI 1.4;1 (MPRT), 4 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;275B1H/00 27;1249;2023.06.24;1 x DisplayPort 1.2, 1x DVI-D, 1x HDMI 1.4;4 (GTG);"27""";2560 x 1440 (Quad HD);IPS
MediaMarkt;PHILIPS;27M1C5500VL/00 27;1089;2023.06.24;1x DisplayPort 1.4, 2x HDMI 2.0;1 (MPRT), 4 (GTG);"27""";2560 x 1440 (Quad HD);VA
MediaMarkt;PHILIPS;242V8LA/00 23.8;519;2023.06.24;1x D-Sub (VGA), 1x DisplayPort, 1x HDMI;4 (GTG);"23.8""";1920 x 1080 (Full HD);VA
MediaMarkt;PHILIPS;275S1AE/00 27;999;2023.06.24;1 x DisplayPort 1.2, 1x DVI-D, 1x HDMI 1.4;4 (GTG);"27""";2560 x 1440 (Quad HD);IPS
MediaMarkt;PHILIPS;328E1CA/00 31.5;1709;2023.06.24;1 x DisplayPort 1.2, 2x HDMI 2.0;4;"31.5""";3840 x 2160 (UHD 4K);VA
MediaMarkt;PHILIPS;24E1N5300HE/00 23.8;1099;2023.06.24;1 x DisplayPort 1.2, 1x DisplayPort przez USB-C, 1x HDMI 1.4;1 (MPRT), 4 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;27M2C5500W/00 27;1819;2023.06.24;2x DisplayPort 1.4, 2x HDMI 2.0;0.5 (MPRT), 1 (GTG);"27""";2560 x 1440 (Quad HD);VA
MediaMarkt;PHILIPS;24M1N3200VS/00 23.8;699;2023.06.24;1 x DisplayPort 1.2, 2x HDMI 2.0;1 (MPRT);"23.8""";1920 x 1080 (Full HD);VA
MediaMarkt;PHILIPS;241E1SC/00 23.6;549;2023.06.24;1x D-Sub (VGA), 1x HDMI;4 (GTG);"23.6""";1920 x 1080 (Full HD);VA
MediaMarkt;PHILIPS;345E2AE/00 34;1699;2023.06.24;1x DisplayPort, 2x HDMI;4;"34""";3440 x 1440 (UltraWide QHD);IPS
MediaMarkt;PHILIPS;27E1N3300A/00 27;899;2023.06.24;1x DisplayPort przez USB-C, 1x HDMI 1.4;1 (MPRT), 4 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;162B9T/00 15.6;1099;2023.06.24;1 x DisplayPort 1.2, 1x D-Sub (VGA), 1x DVI-D, 1x HDMI 1.4;4 (GTG);"15.6""";1366 x 768 (HD);TN
MediaMarkt;PHILIPS;272S1M/00 27;1029;2023.06.24;1 x DisplayPort 1.2, 1x D-Sub (VGA), 1x DVI-D, 1x HDMI 1.4;4 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;272B7QUPBEB/00 27;1629;2023.06.24;1 x DisplayPort 1.2, 1x DisplayPort przez USB-C, 1x HDMI 1.4;5 (GTG);"27""";2560 x 1440 (Quad HD);IPS
MediaMarkt;PHILIPS;243B9H/00 23.8;1119;2023.06.24;1 x DisplayPort 1.2, 1x D-Sub (VGA), 1x DisplayPort przez USB-C, 1x HDMI 1.4;4 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;241B7QUBHEB/00 23.8;1409;2023.06.24;1 x DisplayPort 1.2, 1x DisplayPort przez USB-C, 1x HDMI 1.4;5 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;273B9/00 27;1019;2023.06.24;1 x DisplayPort 1.2, 1x D-Sub (VGA), 1x HDMI 1.4;4;"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;328P6AUBREB/00 31.5;2029;2023.06.24;1x D-Sub (VGA), 1x DisplayPort, 1x HDMI;4;"31.5""";2560 x 1440 (Quad HD);IPS
MediaMarkt;PHILIPS;16B1P3302D/00 15.6;1089;2023.06.24;2x DisplayPort przez USB-C;4 (GTG);"15.6""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;279P1/00 27;1949;2023.06.24;1x DisplayPort 1.4, 1x DisplayPort przez USB-C, 2x HDMI 2.0;4;"27""";3840 x 2160 (UHD 4K);IPS
MediaMarkt;PHILIPS;272S1MH/00 27;1029;2023.06.24;1 x DisplayPort 1.2, 1x D-Sub (VGA), 1x DVI-D, 1x HDMI 1.4;4 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;276B9H/00 27;1499;2023.06.24;1 x DisplayPort 1.2, 1x DisplayPort przez USB-C, 1x HDMI 1.4;4;"27""";2560 x 1440 (Quad HD);IPS
MediaMarkt;PHILIPS;27E1N5600HE/00 27;1509;2023.06.24;1 x DisplayPort 1.2, 1x DisplayPort przez USB-C, 1x HDMI 1.4;1 (MPRT), 4 (GTG);"27""";2560 x 1440 (Quad HD);IPS
MediaMarkt;PHILIPS;271E1SCA/00 27;739;2023.06.24;1x D-Sub (VGA), 1x HDMI;4 (GTG);"27""";1920 x 1080 (Full HD);VA
MediaMarkt;PHILIPS;40B1U5600/00 40;2779;2023.06.24;1x DisplayPort 1.4, 1x HDMI 2.0;4;"40""";3440 x 1440 (UltraWide QHD);IPS
MediaMarkt;PHILIPS;172B9T/00 17;1519;2023.06.24;1 x DisplayPort 1.2, 1x D-Sub (VGA), 1x DVI-D, 1x HDMI 1.4;1 (GTG);"17""";1280 x 1024 (SXGA);TN
MediaMarkt;PHILIPS;34B1U5600CH/00 34;2879;2023.06.24;1x DisplayPort 1.4, 1x DisplayPort przez USB-C, 1x HDMI 2.0;4 (GTG);"34""";3440 x 1440 (UltraWide QHD);VA
MediaMarkt;PHILIPS;34M2C7600MV/00 34;6389;2023.06.24;1x DisplayPort 1.4, 1x DisplayPort przez USB-C, 2x HDMI 2.1;2.5;"34""";3440 x 1440 (UltraWide QHD);VA
MediaMarkt;PHILIPS;241B7QUPBEB/00 23.8;1119;2023.06.24;1 x DisplayPort 1.2, 1x D-Sub (VGA), 1x DisplayPort przez USB-C, 1x HDMI 1.4;5 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;27E1N5300AE/00 27;979;2023.06.24;1 x DisplayPort 1.2, 1x DisplayPort przez USB-C, 1x HDMI 1.4;1 (MPRT), 4 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;24B1U5301H/00 23.8;1709;2023.06.24;1x DisplayPort 1.4, 1x DisplayPort przez USB-C, 1x HDMI 1.4;4 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;241E1SCA/00 23.6;619;2023.06.24;1x D-Sub (VGA), 1x HDMI;4 (GTG);"23.6""";1920 x 1080 (Full HD);VA
MediaMarkt;PHILIPS;243B1JH/00 23.8;1909;2023.06.24;1x DisplayPort 1.4, 1x DisplayPort przez USB-C, 1x HDMI 1.4;4 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;27M1F5500P/00 27;2779;2023.06.24;2x DisplayPort 1.4, 2x HDMI 2.0;1 (GTG);"27""";2560 x 1440 (Quad HD);Nano IPS
MediaMarkt;PHILIPS;242B9TN/00 23.8;1539;2023.06.24;1 x DisplayPort 1.2, 1x D-Sub (VGA), 1x DVI-D, 1x HDMI 1.4;5 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;275V8LA/00 27;789;2023.06.24;1 x DisplayPort 1.2, 2x HDMI 1.4;4 (GTG);"27""";2560 x 1440 (Quad HD);VA
MediaMarkt;PHILIPS;32M1N5800A/00 31.5;3799;2023.06.24;2x DisplayPort 1.4, 2x HDMI 2.1;1 (MPRT);"31.5""";3840 x 2160 (UHD 4K);IPS
MediaMarkt;PHILIPS;243B1/00 23.8;1299;2023.06.24;1x DisplayPort 1.4, 1x DisplayPort przez USB-C, 1x HDMI 1.4;4 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;245B1/00 23.8;929;2023.06.24;1 x DisplayPort 1.2, 1x DVI-D, 1x HDMI 1.4;4 (GTG);"23.8""";2560 x 1440 (Quad HD);IPS
MediaMarkt;PHILIPS;223S7EHMB/00 21.5;889;2023.06.24;1x D-Sub (VGA), 1x HDMI 1.4;5 (GTG);"21.5""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;498P9Z/00 48.8;4959;2023.06.24;1x DisplayPort 1.4, 3x HDMI 2.0;4 (GTG);"48.8""";5120 x 1440 (Dual QHD);VA
